Index,Unnamed: 0,Star_name,Distance,Mass,Radius
227,130,SDSSp J132629.82-003831.5 [de],65,0.048683988000000004,0.09968010999999999
228,131,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
229,132,2MASS J13595510-4034582,51,0.060139044,0.102763
230,133,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
231,134,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173536999999999
232,135,DENIS-P J142527.97-365023.4 [de],38,0.020046348000000002,0.13564716
233,136,LHS 2924,38.5,0.072548688,0.10892878
234,137,2MASS J14392837+1929150,47,0.068730336,0.10584589
235,138,LSPM J1440+1339,72,0.087822096,0.12228796999999998
236,139,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
237,140,CFBDSIR 1458+10A,104,0.0105959268,0.1541445
238,141,CFBDSIR 1458+10B,104,0.008591292,0.13359189999999999
239,142,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
240,143,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998
241,144,CFBDS J150411+102717,71,0.042001872,0.09659721999999998
242,145,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826
243,146,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999
244,147,TVLM 868-110639,53,0.075412452,0.11098404
246,149,2MASSW J1515008+484742 [de],34,0.054411516,0.10173536999999999
247,150,2MASSI J1526140+204341 [de],67,0.051547752,0.10070773999999999
248,151,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
249,152,2MASS J15462718-3325111 [de],37,0.042001872,0.09659721999999998
250,153,2MASSW J1552591+294849 [de],68,0.028637640000000002,0.14695108999999998
251,154,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589
252,155,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
253,156,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659721999999998
254,157,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589
255,158,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
256,159,WISEPA J164715.59+563208.2,28,0.039138108,0.09659721999999998
257,160,LSPM J1658+7027 [de],60,0.069684924,0.10687352
258,161,2MASSI J1726000+153819,114,0.022910112,0.14386819999999997
260,163,SDSSp J175032.96+175903.9,90,0.044865636,0.09968010999999999
261,164,2MASS J18283572-4849046,39,0.04295646,0.09762484999999999
262,165,LSR J1835+3259,18.5,0.073503276,0.10995641
263,166,2MASSW J1841086+311727,138,0.063957396,0.10379063
264,167,2MASS J18432213+4040209,46,0.091640448,0.12537086
265,168,2MASS J20004841-7523070,105,0.0238647,0.19319443999999997
266,169,SDSS J204749.61-071818.3,65,0.043911048,0.09865247999999999
267,170,2MASSI J2057540-025230,47,0.06682116,0.10481826
269,172,2MASSI J2104149-103736,62,0.065866572,0.10481826
270,173,PSO J318.5−22,80,0.0062048220000000005,0.15722739
271,174,HB 2124-4228,113,0.089731272,0.12434322999999999
272,175,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999
273,176,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
275,178,2MASSW J2206450-421721,93,0.021000936,0.13667479
276,179,2MASSW J2208136+292121,154,0.025773876,0.14489582999999998
277,180,2MASSW J2224438-015852,38,0.058229868000000004,0.10173536999999999
278,181,2MASS J22282889-4310262,35,0.040092696000000004,0.09659721999999998
279,182,2MASS J22373255+3922398,64,0.069684924,0.10687352
280,183,2MASSW J2244316+204343,56,0.011455056,0.13256426999999998
281,184,2MASS J23224684-3133231,56,0.022910112,0.14284056999999997
282,185,2MASS J23225299-6151275,148,0.016227996,0.16339317
283,186,2MASS J23515044-2537367,67,0.084003744,0.11920507999999998
284,187,2MASSI J2356547-155310,74,0.07636704,0.11201167000000001
322,225,WISE 0410+1502,20,0.005727528,0.12023270999999998
326,229,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
327,230,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
381,284,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
